Year,Country,Region,SubRegion,IntermRegion,SurfAreaSqKm,PopDens,PopGrowth%,GDP,GDPGrowth%,AdolFertRate,AgriValAdd%GDP,DomCredit%GDP,Exports%GDP,FertRate,FDINetBoP,GNI/CapAtlas,GNIAtlas,GrossCapForm%GDP,Imports%GDP,IndValAdd%GDP,InflConsPric%,LifeExpBirth,MerchTrade%GDP,MilExp%GDP,MobileSubs/100,MortRateU5,NetMigr,PopTotal,RevenueExGrants%GDP,SchEnrollPrim%,TaxRevenue%GDP,UrbanPopGrowth%
1974,Cameroon,Africa,Sub-Saharan Africa,Middle Africa,475440.0,15.2201074654651,2.76215239574374,2157415535.79412,10.7342622580316,187.38,29.5397657619248,,25.4380898076255,6.337,21600000.0,290.0,2057735950.13568,17.0806863264918,22.7999234342368,17.8702134173642,10.6560928613066,49.571,42.4118573737441,1.6919407226959,,192.2,-385.0,7194697.0,,89.6537094116211,,8.57569884680518
1974,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,23200.0,8.25664365832614,7.63125203528996,,,64.495,,,,6.8,30000.0,,,,,,,49.524,,,,,9910.0,191389.0,,28.366060256958,,9.24661416607806
1974,Aruba,Americas,Latin America and the Caribbean,Caribbean,180.0,333.488888888889,1.11062929159876,,,42.563,,,,2.552,,,,,,,,69.503,,,,,-247.0,60028.0,,,,1.07987402025453
1974,Somalia,Africa,Sub-Saharan Africa,Eastern Africa,637660.0,6.57669365894093,2.5402686649413,467577432.322093,-18.2663787418327,72.378,38.2516836475191,,17.4628017658556,7.057,700000.0,120.0,479307254.387431,26.8736884283197,39.98776794157,17.1094656162961,13.0714237783859,43.818,,0.72714916751614,,,-495.0,4125823.0,,12.7597398757935,,4.97882480128482
1974,Myanmar,Asia,South-eastern Asia,,676590.0,45.5242770144138,1.99126389616656,1000557949.59229,2.17177781552775,72.52,,,,5.382,1020000.0,30.0,903152750.11297,,,,35.1725003184901,52.246,36.5795904324322,4.02108745089932,,161.2,-53905.0,29751936.0,12.2957147185461,85.0881118774414,9.47754462606925,2.03308513631914
1974,Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,2040.0,432.533004926108,1.51741920004679,,,56.42,,,,3.341,3609999.9,,,,,,,61.643756097561,,0.139925373134328,,74.6,-3282.0,878042.0,,107.530532836914,,1.01723075920183
1974,Tunisia,Africa,Northern Africa,,163610.0,36.1297373841401,2.6988937476925,3545865875.51792,8.0747823343126,40.048,18.7298100529784,42.9537407933842,35.3663263987595,6.111,28000000.0,600.0,3358027906.68594,25.8043674893397,32.2070034888228,27.0965240987208,24.3947260867885,58.282,57.7856036277942,1.31153895852177,,143.0,-9256.0,5613116.0,24.9321617780075,91.7673263549805,17.8640651246931,4.49087182171381
1974,"Micronesia, Fed. Sts.",Oceania,Micronesia,,700.0,,2.56965182144616,,,92.667,,,,6.77,,,,,,,,62.499,,,,70.8,-485.0,65552.0,,205.636383056641,,3.14849181909855
1974,Norway,Europe,Northern Europe,,385178.0,10.9112209919944,0.620349415188391,27145652980.0117,3.92218170971906,41.81,4.39356559094022,,38.7135171799254,2.13,346000000.0,6750.0,26912103220.3351,36.4984472565983,41.3954076034553,27.4313567718897,11.3720422702008,74.7536585365854,54.1596844652276,3.0355353426347,,13.6,4285.0,3985258.0,31.3620917814322,100.003410339355,20.4622985922237,1.34225745795554
1974,"Hong Kong SAR, China",Asia,Eastern Asia,,1070.0,4291.96078431373,3.16057585442932,9388694744.86163,2.41519630707863,19.151,,,86.6342082980525,2.967,153444422.9,2150.0,9422381006.89415,24.1828958509738,81.8416596104996,,11.612184141591,72.6121951219512,135.759020251199,,,,46106.0,4377800.0,,116.565910339355,,3.61737249020007
1974,Cayman Islands,Americas,Latin America and the Caribbean,Caribbean,264.0,54.6583333333333,5.28271170780497,,,89.823,,,,,1830000.0,,,,,,,,,,,,515.0,13118.0,,110.463119506836,,5.28271170780497
1974,Namibia,Africa,Sub-Saharan Africa,Southern Africa,824290.0,1.03255353520631,3.00594151221225,,,109.668,,,,6.564,,,,,,,,55.893,,,,99.0,-744.0,850091.0,,,,4.18500349351542
